0	80
1	86
2	76
3	83
4	86
5	75
6	97
7	75
8	101
9	123
10	89
11	71
12	89
13	73
14	88
15	76
16	89
17	69
18	86
19	85
20	67
21	69
22	88
23	82
24	83
25	83
26	75
27	79
28	78
29	93
30	81
31	97
32	79
33	74
34	92
35	71
36	89
37	88
38	72
39	77
40	84
41	90
42	71
43	91
44	80
45	74
46	81
47	95
48	94
49	82
50	78
51	82
52	72
53	74
54	71
55	91
56	68
57	80
58	88
59	63
60	84
61	71
62	77
63	72
64	72
65	84
66	78
67	86
68	82
69	84
70	87
71	75
72	102
73	65
74	93
75	92
76	77
77	114
78	65
79	88
80	80
81	83
82	79
83	93
84	74
85	91
86	77
87	84
88	89
89	97
90	78
91	71
92	84
93	75
94	72
95	82
96	70
97	86
98	92
99	91
100	74
101	99
102	80
103	76
104	78
105	74
106	74
107	74
108	71
109	83
110	86
111	94
112	78
113	91
114	84
115	90
116	89
117	66
118	86
119	79
120	79
121	81
122	88
123	84
124	75
125	91
126	73
127	92
128	85
129	78
130	59
131	87
132	79
133	79
134	73
135	83
136	76
137	85
138	75
139	69
140	67
141	85
142	81
143	96
144	84
145	74
146	74
147	82
148	69
149	84
150	88
151	67
152	63
153	79
154	92
155	87
156	73
157	79
158	69
159	75
160	82
161	92
162	84
163	69
164	67
165	76
166	92
167	84
168	86
169	86
170	78
171	84
172	82
173	77
174	72
175	81
176	69
177	84
178	84
179	85
180	79
181	77
182	84
183	79
184	82
185	90
186	71
187	72
188	76
189	85
190	93
191	83
192	87
193	98
194	69
195	71
196	93
197	90
198	74
199	74
200	71
201	77
202	70
203	68
204	100
205	91
206	91
207	80
208	72
209	83
210	89
211	87
212	99
213	85
214	70
215	91
216	86
217	77
218	77
219	69
220	78
221	91
222	81
223	88
224	70
225	62
226	90
227	84
228	81
229	83
230	76
231	83
232	93
233	83
234	86
235	68
236	74
237	69
238	87
239	77
240	97
241	79
242	78
243	83
244	67
245	73
246	90
247	83
248	95
249	72
250	71
251	69
252	86
253	84
254	78
255	65
